# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	126941
#@/user_id	ca62f353-43e6-488d-90b6-9dde39353ca4
a 	啊	c=89 d=7.44404 t=126941
biān yì qì 	编译器	c=2 d=1.28199 t=126941
biān yì shí 	编译时	c=2 d=1.39498 t=126941
biān yí gè 	编一个	c=1 d=0.843665 t=126941
biān zhì 	编制	c=3 d=1.59722 t=126941
biān zào 	编造	c=1 d=0.571209 t=126941
biāo 	标	c=2 d=1.16722 t=126941
biāo dì 	标的	c=7 d=2.19408 t=126941
biāo dìng 	标定	c=1 d=0.88692 t=126941
biāo huáng 	标黄	c=2 d=1.05862 t=126941
biāo hào 	标号	c=7 d=3.04505 t=126941
biāo jià 	标价	c=2 d=1.85607 t=126941
biāo jì 	标记	c=12 d=2.30775 t=126941
biāo jì fú 	标记符	c=1 d=0.941765 t=126941
biāo jì hǎo 	标记好	c=1 d=0.946485 t=126941
biāo míng 	标明	c=4 d=1.41877 t=126941
biāo pǔ 	标普	c=4 d=1.83716 t=126941
biāo qiān 	标签	c=4 d=1.37167 t=126941
biāo qiān yè 	标签页	c=2 d=0.876538 t=126941
biāo shí 	标识	c=45 d=4.09391 t=126941
biāo shí fú 	标识符	c=1 d=0.733447 t=126941
biāo shí hào 	标识号	c=1 d=0.759572 t=126941
biāo shí kuàng 	标识框	c=1 d=0.704688 t=126941
biāo shū 	标书	c=1 d=0.97531 t=126941
biāo tí 	标题	c=17 d=3.76745 t=126941
biāo zhù 	标注	c=5 d=1.7214 t=126941
biāo zhǔn 	标准	c=25 d=5.72432 t=126941
biāo zhǔn de 	标准的	c=1 d=0.802519 t=126941
biāo zhǔn gōng jī 	标准攻击	c=1 d=0.640824 t=126941
biāo zhǔn huà 	标准化	c=3 d=1.91987 t=126941
biāo zhǔn jī guì 	标准机柜	c=1 d=0.869358 t=126941
biāo zhǔn shū rù 	标准输入	c=1 d=0.937067 t=126941
biē qū 	憋屈	c=2 d=1.95084 t=126941
biǎn dī 	贬低	c=1 d=0.782705 t=126941
biǎn píng 	扁平	c=1 d=0.860708 t=126941
biǎn yì cí 	贬义词	c=1 d=0.927743 t=126941
biǎo 	表	c=76 d=18.284 t=126941
biǎo dá 	表达	c=23 d=3.22773 t=126941
biǎo dá néng lì 	表达能力	c=1 d=0.941765 t=126941
biǎo dá shì 	表达式	c=16 d=4.55173 t=126941
biǎo dá xíng shì 	表达形式	c=2 d=1.009 t=126941
biǎo gé 	表格	c=84 d=11.8506 t=126941
biǎo gé lǐ 	表格里	c=2 d=1.32469 t=126941
biǎo gé shí 	表格时	c=1 d=0.748264 t=126941
biǎo gé zhōng 	表格中	c=1 d=0.918512 t=126941
biǎo lǐ 	表里	c=1 d=0.895834 t=126941
biǎo míng 	表名	c=3 d=1.82492 t=126941
biǎo míng 	表明	c=13 d=2.31571 t=126941
biǎo qíng bāo 	表情包	c=3 d=1.68391 t=126941
biǎo shì 	表示	c=29 d=4.31253 t=126941
biǎo shì chū lái 	表示出来	c=2 d=0.509156 t=126941
biǎo shì de shì 	表示的是	c=1 d=0.625002 t=126941
biǎo shì tú 	表示图	c=1 d=0.574072 t=126941
biǎo shù 	表述	c=2 d=1.07187 t=126941
biǎo tóu 	表头	c=14 d=2.70465 t=126941
biǎo xiàn 	表现	c=2 d=0.995012 t=126941
biǎo xiàn chū 	表现出	c=1 d=0.822835 t=126941
